Username,Email,Department,Employee Class,Title,Organization,Manager Name,User Status,AI Service (Normalized),AI Services,Total AI Services,Has AI Extensions Installed,Has AI Service License,Ai Service Event Count,Ai Service Connection Count,Ai Service File Upload Count,Ai Service Copy Paste Count,Ai Service PII Detection Count,Average Risk Score,Last Access Timestamp,Operating Systems,Endpoint Machine,AI Tool Vendor,AI Tool Category,AI Tool Region,AI Tool Data Location,Has BAA,Has DPA,Approved for Use,Risk Classification,Data Classification,Handles PHI,Handles PII,Handles Financial Data,Encryption Status,User Location,User Role,Access Level,Clearance Level,Training Completed,Last Certification Date,Consent Status,Data Retention Policy,Deletion Request Status,Sensitive Data Access Count,Policy Violations Count,Anomaly Flags,Incident Status,Vendor Risk Score,Vendor Assessment Date,SLA/SLO Status
hahnkendra,rogersmatthew@customer.com,Sales,Full-Time,"Nurse, adult",customer.com,Aaron Perez,Active,Claude,Claude,1,False,False,482,182,1,27,1,46.9,2025-12-27T13:17:00.898594Z,Windows 11,zl98-21796,Nvidia,Chat Assistant,Global,Multi-Region,No,Pending,Under Review,Critical,PII,False,True,False,Both,EU-DE,Clinical,Standard,,False,2025-01-31,Explicit,Indefinite,Pending,127,12,Geo Anomaly,Resolved,35,2026-01-20,At Risk
pachecotroy,harrismanuel@customer.com,Clinical,Full-Time,Textile designer,customer.com,Erin Davis,Terminated,Perplexity,Perplexity,1,False,False,441,166,4,33,2,87.1,2026-01-02T10:43:00.899831Z,Ubuntu 22.04,wa54-04006,Meta,GenAI,US,EU-West,,Pending,Under Review,Critical,PHI,True,True,False,Encrypted in Transit,EU-NL,Exec,Elevated,Confidential,False,2025-07-22,Withdrawn,30d,Pending,122,6,,Under Investigation,75,2026-01-20,Compliant
wendy23,lisamcdaniel@customer.com,R&D,Contractor,Community pharmacist,customer.com,Adam Gonzalez,Terminated,Perplexity,Perplexity,1,False,True,110,154,8,4,3,5.8,2026-01-03T14:57:00.900945Z,Ubuntu 22.04,Cq30-04290,Anthropic,Search,Global,Multi-Region,,Yes,Approved,Critical,Internal,False,False,False,Both,US-MA,Admin,Admin,,False,2025-06-08,Withdrawn,Indefinite,Completed,168,11,Excessive Upload,Resolved,78,2026-01-20,At Risk
burtontamara,richard65@customer.com,Engineering,Contractor,"Engineer, automotive",customer.com,Christina Williams,Terminated,Copilot,Copilot,1,False,False,48,167,10,49,5,84.3,2025-12-27T15:55:00.901836Z,Windows 11,pb52-99746,Meta,Analytics,APAC,EU-West,Pending,No,Approved,High,Financial,False,True,True,Both,EU-NL,IT,Standard,Top-Secret,True,2025-11-21,,Indefinite,,49,2,Multiple Flags,Under Investigation,10,2026-01-20,At Risk
glen64,barbersusan@customer.com,R&D,Contractor,"Surveyor, rural practice",customer.com,Erin Arias,Active,ChatGPT,"ChatGPT,Perplexity",2,True,True,7,32,2,11,2,18.7,2026-01-02T19:19:00.902649Z,Windows 10,uT38-34082,Nvidia,Code Assistant,Global,EU-West,,No,Restricted,Medium,Internal,False,False,False,,EU-NL,Finance,Standard,Confidential,False,2025-08-10,Implied,1yr,Pending,78,7,,Breach,50,2026-01-20,Breach
maurice65,mark66@customer.com,IT,Intern,Facilities manager,customer.com,Russell Pruitt,Inactive,Perplexity,"Perplexity,ChatGPT,Claude",3,False,True,454,46,4,5,2,17.0,2025-12-25T20:26:00.903480Z,Ubuntu 22.04,kh28-78143,Microsoft,GenAI,US,Multi-Region,Yes,No,Prohibited,High,PII,False,True,False,Both,EU-NL,Clinical,Standard,Secret,False,2025-05-04,,Indefinite,Pending,58,14,,,95,2026-01-20,Compliant
petersonshelly,timothy93@customer.com,IT,Vendor,Town planner,customer.com,Francisco Johnson,Suspended,ChatGPT,"ChatGPT,Copilot,Perplexity",3,True,True,339,48,3,34,0,64.8,2026-01-06T11:16:00.904490Z,Windows 11,RQ89-09637,Google,Analytics,EU,Multi-Region,No,No,Under Review,High,Financial,False,True,True,Encrypted in Transit,US-CA,Clinical,Elevated,Confidential,False,2026-01-14,Explicit,Indefinite,Pending,117,11,Unusual Hours,Under Investigation,22,2026-01-20,At Risk
nancy60,robertohopkins@customer.com,HR,Intern,Consulting civil engineer,customer.com,Corey Gonzalez,Suspended,Claude,Claude,1,True,True,29,115,2,31,5,65.3,2026-01-17T11:46:00.905390Z,macOS 13,Gm85-18343,Anthropic,Code Assistant,US,EU-West,No,No,Prohibited,Critical,PHI,True,True,False,,EU-NL,IT,Standard,Top-Secret,False,2025-05-06,Explicit,1yr,,51,2,Unusual Hours,Under Investigation,50,2026-01-20,Breach
rachelleach,chadreed@customer.com,Engineering,Full-Time,Theatre manager,customer.com,Matthew Bowers,Active,Bing,"Bing,Copilot,Gemini",3,False,False,374,125,9,48,5,89.3,2025-12-30T07:37:00.906249Z,Windows 10,Vi79-85936,Microsoft,Chat Assistant,Global,US-West,Yes,,Approved,Low,Internal,False,False,False,,US-CA,Clinical,Elevated,Confidential,True,2025-09-08,,90d,,84,8,Excessive Upload,Breach,30,2026-01-20,At Risk
tylerclark,acurry@customer.com,Finance,Vendor,Economist,customer.com,William Jones DDS,Active,Claude,"Claude,Perplexity,Gemini",3,False,False,10,172,9,26,1,94.6,2026-01-10T15:29:00.907154Z,macOS 14,Xh05-87697,Google,Copilot,EU,Multi-Region,Yes,Yes,Prohibited,Critical,Confidential,False,False,False,Both,US-MA,Clinical,Admin,Top-Secret,False,2025-04-08,Implied,7yr,Completed,156,11,Unusual Hours,Breach,98,2026-01-20,At Risk
paul45,markmartinez@customer.com,Legal,Intern,"Chemist, analytical",customer.com,Erik Thomas,Active,Claude,"Claude,ChatGPT",2,False,True,485,175,6,2,0,90.5,2026-01-15T10:43:00.907922Z,Windows 11,dh68-44529,Google,GenAI,APAC,US-West,No,,Under Review,Critical,PHI,True,True,False,Encrypted at Rest,EU-FR,Clinical,Standard,Top-Secret,True,2025-04-05,,30d,,66,15,Multiple Flags,Resolved,68,2026-01-20,Breach
edwardsjeffrey,ronnieharris@customer.com,Clinical,Intern,Sports therapist,customer.com,Justin Hebert,Terminated,ChatGPT,"ChatGPT,Perplexity,Gemini",3,False,False,266,133,3,3,0,44.3,2025-12-27T23:15:00.908799Z,Ubuntu 22.04,yF98-03215,OpenAI,Copilot,Global,US-West,No,Yes,Under Review,High,Confidential,False,False,False,Encrypted at Rest,US-NY,Exec,Admin,Top-Secret,True,2025-06-23,Explicit,90d,Pending,17,19,Excessive Upload,Breach,73,2026-01-20,Breach
ujohnson,josepark@customer.com,Legal,Contractor,"Therapist, music",customer.com,Mark Powell,Inactive,Bing,Bing,1,True,True,406,0,5,12,3,79.7,2025-12-22T20:35:00.910416Z,macOS 13,zy29-89781,Meta,Copilot,EU,US-East,No,Pending,Under Review,High,PII,False,True,False,Encrypted at Rest,US-NY,Clinical,Admin,Top-Secret,False,2025-05-13,Implied,30d,Completed,197,8,Excessive Upload,,39,2026-01-20,Breach
zhart,ibryant@customer.com,R&D,Full-Time,Radio broadcast assistant,customer.com,Brian Mccoy,Terminated,Claude,Claude,1,True,True,79,80,8,24,1,97.4,2025-12-28T01:47:00.911363Z,macOS 13,Co52-98298,Google,Chat Assistant,Global,EU-West,Pending,No,Approved,Critical,PHI,True,True,False,,US-CA,Admin,Privileged,,True,2025-04-16,Withdrawn,90d,Pending,164,18,Unusual Hours,Breach,86,2026-01-20,Compliant
lharrison,kelly10@customer.com,Clinical,Vendor,Purchasing manager,customer.com,Lauren Rogers,Active,Perplexity,"Perplexity,ChatGPT",2,False,True,384,95,10,6,2,72.2,2025-12-26T14:19:00.956912Z,Ubuntu 22.04,fo76-84901,Meta,GenAI,Global,EU-Central,,No,Approved,Medium,PHI,True,True,False,,US-MA,Clinical,Admin,,True,2025-04-03,Implied,Indefinite,Pending,162,6,,Resolved,10,2026-01-20,Breach
darlene58,gperez@customer.com,Finance,Intern,Education administrator,customer.com,Melissa Roman,Suspended,Claude,"Claude,ChatGPT,Gemini",3,False,True,35,53,6,49,3,2.1,2025-12-29T02:51:00.958010Z,Windows 11,Eu91-42667,Microsoft,Copilot,US,Multi-Region,Pending,Yes,Prohibited,Low,Confidential,False,False,False,Encrypted in Transit,EU-FR,Finance,Privileged,,False,2025-10-26,Explicit,7yr,Completed,130,16,Multiple Flags,,7,2026-01-20,Compliant
johncooper,barbaranewton@customer.com,Clinical,Intern,"Journalist, newspaper",customer.com,Michael Reyes,Inactive,Copilot,Copilot,1,True,True,217,158,3,19,4,36.7,2025-12-26T02:30:00.959135Z,macOS 13,Zs08-73400,Meta,GenAI,US,US-East,Pending,Pending,Prohibited,High,PHI,True,True,False,,EU-DE,IT,Privileged,,False,2025-09-16,Withdrawn,90d,Pending,85,14,Excessive Upload,Breach,71,2026-01-20,Breach
archerteresa,morgan18@customer.com,R&D,Contractor,Health service manager,customer.com,Tiffany Marks,Terminated,Copilot,"Copilot,Claude",2,True,False,88,107,0,48,5,0.5,2026-01-16T07:33:00.959926Z,Windows 11,Pp51-94259,Anthropic,Analytics,APAC,US-West,,Yes,Approved,Medium,Confidential,False,False,False,Both,US-CA,Finance,Privileged,Confidential,True,2025-09-07,,30d,Completed,24,20,Excessive Upload,,41,2026-01-20,At Risk
bgardner,hford@customer.com,Security,Contractor,"Accountant, chartered public finance",customer.com,Todd Wu,Active,Gemini,"Gemini,Bing",2,True,False,194,47,6,4,3,32.5,2026-01-08T10:47:00.960719Z,Windows 11,AP66-18902,Anthropic,Copilot,APAC,US-West,Yes,No,Restricted,Critical,PHI,True,True,False,,EU-DE,Finance,Admin,Top-Secret,True,2025-12-04,,1yr,Pending,41,18,Multiple Flags,Under Investigation,84,2026-01-20,Compliant
stephanie09,harold74@customer.com,Security,Vendor,Medical physicist,customer.com,Jeffrey Wood,Inactive,Claude,"Claude,Perplexity",2,False,False,422,39,2,40,0,16.3,2026-01-18T12:09:00.961706Z,macOS 13,Yy05-39813,OpenAI,Analytics,EU,Multi-Region,Yes,,Under Review,Low,PHI,True,True,False,,US-CA,Exec,Admin,,True,2025-12-15,Implied,7yr,Pending,99,0,Excessive Upload,Under Investigation,53,2026-01-20,Breach
anthonycobb,athompson@customer.com,Sales,Vendor,"Engineer, broadcasting (operations)",customer.com,Kyle Patton,Inactive,Gemini,Gemini,1,False,False,264,108,9,19,5,13.9,2026-01-04T02:43:00.962661Z,Windows 10,FQ96-16303,OpenAI,Copilot,US,Multi-Region,Pending,No,Approved,Low,PII,False,True,False,Encrypted at Rest,EU-FR,Exec,Privileged,,True,2026-01-02,Implied,90d,Completed,110,10,Excessive Upload,,32,2026-01-20,Breach
angelawright,wrubio@customer.com,Sales,Intern,Contracting civil engineer,customer.com,Zachary Williams,Active,Gemini,Gemini,1,False,True,206,80,1,16,5,30.0,2026-01-10T16:02:00.963526Z,Ubuntu 22.04,cq99-86267,OpenAI,GenAI,Global,EU-Central,,Yes,Prohibited,Low,Public,False,False,False,Encrypted at Rest,US-CA,Finance,Elevated,,True,2025-07-20,Implied,7yr,Pending,160,17,,Resolved,99,2026-01-20,Breach
melissa96,tharrison@customer.com,Marketing,Vendor,Product/process development scientist,customer.com,Lisa Anderson,Inactive,ChatGPT,"ChatGPT,Gemini",2,True,False,299,70,2,27,5,48.0,2026-01-01T00:36:00.964585Z,Windows 10,fD49-72834,Meta,GenAI,Global,US-West,Pending,Pending,Prohibited,Medium,Internal,False,False,False,,EU-DE,Admin,Standard,Top-Secret,False,2025-03-15,Explicit,Indefinite,Completed,164,15,Multiple Flags,Breach,19,2026-01-20,Compliant
martinsheila,dukesara@customer.com,Finance,Vendor,Personnel officer,customer.com,Matthew Flores,Active,Gemini,"Gemini,Claude",2,True,False,12,26,8,45,4,36.7,2025-12-21T22:45:00.965725Z,Windows 10,yT51-31860,Nvidia,Analytics,Global,EU-West,,Yes,Approved,High,Confidential,False,False,False,Both,EU-DE,Clinical,Admin,,True,2025-09-01,Withdrawn,90d,Completed,99,4,Geo Anomaly,Under Investigation,37,2026-01-20,Compliant
davidgrant,hannahlopez@customer.com,Security,Intern,"Scientist, product/process development",customer.com,Alicia King,Active,Bing,"Bing,ChatGPT",2,True,True,178,21,2,15,3,90.3,2025-12-27T21:39:00.966703Z,macOS 13,AW10-74450,Anthropic,Search,APAC,US-East,Yes,Yes,Prohibited,Medium,Financial,False,True,True,Both,EU-DE,Exec,Standard,Secret,True,2025-12-26,Implied,7yr,Pending,110,11,Multiple Flags,Resolved,8,2026-01-20,At Risk
gonzalezaaron,margaretday@customer.com,Engineering,Contractor,Interpreter,customer.com,Cynthia Tucker,Suspended,Perplexity,Perplexity,1,False,False,347,101,10,22,2,93.4,2026-01-12T23:34:00.967847Z,macOS 14,GT99-16983,Nvidia,Chat Assistant,Global,EU-Central,Yes,Yes,Approved,Medium,Internal,False,False,False,Encrypted in Transit,EU-FR,Exec,Elevated,Confidential,True,2025-05-29,,Indefinite,Pending,105,19,Excessive Upload,Resolved,48,2026-01-20,At Risk
kwallace,wrusso@customer.com,Engineering,Intern,Meteorologist,customer.com,Ronnie Johnson,Suspended,Bing,Bing,1,True,True,256,83,3,35,5,94.9,2025-12-31T10:41:00.968826Z,macOS 14,RW58-39351,Google,Analytics,Global,US-West,No,No,Under Review,High,PHI,True,True,False,Encrypted at Rest,APAC-SG,Clinical,Privileged,Top-Secret,False,2025-02-20,Withdrawn,90d,,36,20,,Resolved,48,2026-01-20,At Risk
waresamantha,zfuller@customer.com,HR,Full-Time,"Lighting technician, broadcasting/film/video",customer.com,Joshua Taylor,Active,ChatGPT,"ChatGPT,Perplexity",2,True,True,487,32,3,25,0,98.8,2025-12-22T19:32:00.969717Z,Windows 11,DZ50-76925,Anthropic,GenAI,EU,US-West,,Yes,Under Review,Medium,Confidential,False,False,False,,US-NY,Finance,Privileged,Secret,True,2025-07-19,Implied,90d,Pending,43,4,Geo Anomaly,,7,2026-01-20,Breach
beverly09,sanchezmiranda@customer.com,R&D,Intern,Visual merchandiser,customer.com,Steven Schwartz,Terminated,Perplexity,Perplexity,1,True,False,210,113,0,24,1,40.7,2025-12-29T14:36:00.970965Z,Windows 11,nk07-23620,Google,Chat Assistant,US,US-East,Yes,Pending,Approved,Critical,Public,False,False,False,Encrypted in Transit,US-NY,Admin,Admin,Confidential,True,2025-08-25,Implied,1yr,Completed,175,11,,Resolved,99,2026-01-20,Breach
theresahaley,richardlittle@customer.com,Marketing,Vendor,Acupuncturist,customer.com,Jessica Blair,Active,ChatGPT,ChatGPT,1,False,True,430,79,8,11,2,47.3,2026-01-14T16:36:00.972270Z,Ubuntu 22.04,uY27-31370,Meta,Analytics,APAC,US-East,No,Pending,Restricted,Critical,Internal,False,False,False,Encrypted at Rest,US-NY,Admin,Privileged,Confidential,True,2025-12-11,Withdrawn,1yr,,21,14,Multiple Flags,,2,2026-01-20,Compliant
shortraymond,acollins@customer.com,Sales,Full-Time,"Geologist, engineering",customer.com,Morgan Bell,Inactive,Gemini,Gemini,1,True,False,337,43,0,7,4,37.3,2025-12-25T21:16:00.973596Z,Windows 11,OF08-74697,Meta,Copilot,Global,US-West,Yes,Yes,Restricted,Low,PHI,True,True,False,Encrypted at Rest,APAC-SG,Clinical,Admin,Secret,False,2025-06-07,Implied,30d,,132,6,Geo Anomaly,Under Investigation,70,2026-01-20,Compliant
anthonycox,susan46@customer.com,Security,Vendor,Control and instrumentation engineer,customer.com,Stephanie Porter,Inactive,Gemini,Gemini,1,True,True,438,64,4,14,3,58.3,2026-01-11T05:58:00.974759Z,Windows 10,Ro98-70091,Anthropic,GenAI,APAC,US-West,Yes,Yes,Prohibited,Critical,PII,False,True,False,,EU-FR,IT,Admin,Secret,False,2025-08-31,Implied,30d,Completed,5,6,Excessive Upload,Resolved,86,2026-01-20,Compliant
edwardcarroll,cynthialewis@customer.com,Sales,Vendor,"Teacher, music",customer.com,Joshua Butler,Suspended,Claude,"Claude,Perplexity",2,True,False,110,96,5,27,2,63.5,2025-12-25T03:18:00.975774Z,macOS 13,oq30-82495,Microsoft,GenAI,US,EU-Central,,No,Under Review,High,Financial,False,True,True,Both,US-CA,Clinical,Standard,Top-Secret,False,2026-01-10,Withdrawn,7yr,Pending,104,13,Geo Anomaly,Resolved,12,2026-01-20,Breach
millsjenna,amber30@customer.com,IT,Intern,Multimedia specialist,customer.com,Patricia Hardy,Suspended,Gemini,Gemini,1,False,False,178,186,8,34,4,29.3,2025-12-23T01:31:00.976613Z,Windows 11,aU44-84594,Microsoft,Analytics,US,EU-West,,No,Under Review,Medium,Confidential,False,False,False,Both,APAC-SG,Exec,Privileged,Confidential,True,2025-12-10,,90d,,28,0,,,11,2026-01-20,Compliant
jennifer65,jwarner@customer.com,Engineering,Intern,"Designer, industrial/product",customer.com,Wendy Taylor,Active,Claude,"Claude,Bing,Perplexity",3,True,False,132,158,9,30,5,63.0,2026-01-01T09:02:00.977305Z,Ubuntu 22.04,td34-47943,Microsoft,Chat Assistant,APAC,US-East,Pending,No,Under Review,Low,Internal,False,False,False,Encrypted in Transit,APAC-SG,Exec,Standard,Top-Secret,True,2025-08-09,Implied,Indefinite,Completed,165,2,Multiple Flags,Breach,75,2026-01-20,At Risk
carollevy,timothyschultz@customer.com,Security,Intern,"Engineer, electrical",customer.com,Benjamin Decker,Active,ChatGPT,"ChatGPT,Claude",2,True,True,383,182,0,24,3,72.5,2025-12-23T21:47:00.978200Z,Ubuntu 22.04,RA35-02787,Google,Code Assistant,US,Multi-Region,,,Restricted,Low,Public,False,False,False,Both,US-NY,Clinical,Elevated,,True,2025-08-04,Withdrawn,Indefinite,Completed,82,3,Multiple Flags,Under Investigation,13,2026-01-20,Breach
edwardwalker,jonesanthony@customer.com,Engineering,Vendor,Medical illustrator,customer.com,Curtis Newton,Terminated,ChatGPT,ChatGPT,1,True,False,175,57,5,25,0,20.1,2026-01-04T21:13:00.979185Z,Ubuntu 22.04,wO44-03723,Anthropic,Copilot,US,EU-Central,,Yes,Under Review,Critical,Internal,False,False,False,Encrypted at Rest,EU-NL,Exec,Admin,Secret,False,2025-02-09,Withdrawn,30d,,147,13,Excessive Upload,Resolved,74,2026-01-20,At Risk
istewart,williamszachary@customer.com,Sales,Vendor,Structural engineer,customer.com,Yvonne Mason,Inactive,Bing,"Bing,Copilot",2,False,False,98,191,1,46,1,94.2,2026-01-07T11:05:00.980067Z,Windows 11,Cp03-70202,Google,Analytics,EU,EU-Central,Yes,Yes,Prohibited,Low,PHI,True,True,False,Encrypted in Transit,EU-FR,Exec,Admin,Confidential,True,2026-01-01,Implied,30d,,12,16,Excessive Upload,Under Investigation,8,2026-01-20,At Risk
villegasmonica,cholland@customer.com,IT,Intern,Film/video editor,customer.com,James White,Active,Perplexity,"Perplexity,Claude",2,False,False,288,67,0,18,1,95.1,2026-01-15T18:38:00.980852Z,Windows 10,Da49-40333,Anthropic,Copilot,APAC,US-East,Pending,Pending,Approved,Low,Confidential,False,False,False,Encrypted at Rest,US-CA,Clinical,Elevated,Top-Secret,True,2025-02-23,Implied,1yr,Completed,156,13,,Under Investigation,36,2026-01-20,At Risk
patricia70,dhopkins@customer.com,IT,Vendor,"Surveyor, rural practice",customer.com,Darlene Davis,Terminated,Copilot,"Copilot,ChatGPT,Perplexity",3,True,False,453,148,8,32,4,68.0,2026-01-15T22:43:00.981787Z,Windows 11,qq16-68159,Nvidia,Analytics,Global,EU-West,Pending,Pending,Restricted,Medium,Internal,False,False,False,Encrypted at Rest,EU-FR,Clinical,Admin,,False,2025-07-05,Implied,Indefinite,Pending,98,9,Geo Anomaly,Under Investigation,75,2026-01-20,At Risk
tortiz,olivia12@customer.com,Engineering,Full-Time,Set designer,customer.com,Clifford Boyer,Terminated,ChatGPT,"ChatGPT,Perplexity",2,False,False,362,147,5,45,2,2.0,2026-01-17T18:11:00.982640Z,Ubuntu 22.04,px84-05000,Anthropic,Search,US,Multi-Region,,Pending,Approved,Critical,Confidential,False,False,False,Encrypted at Rest,EU-NL,Exec,Admin,,True,2025-04-08,Implied,1yr,Pending,136,1,,,34,2026-01-20,At Risk
meghanrobinson,andrea46@customer.com,R&D,Vendor,"Physicist, medical",customer.com,Aaron Clark,Inactive,ChatGPT,"ChatGPT,Claude",2,True,False,181,123,10,13,3,33.7,2026-01-14T15:22:00.983653Z,Windows 10,Fm98-26979,Meta,Copilot,US,EU-Central,No,Yes,Restricted,High,Internal,False,False,False,,US-NY,Exec,Privileged,,True,2025-04-16,Implied,7yr,Pending,189,14,Multiple Flags,Breach,6,2026-01-20,At Risk
xcalhoun,robin44@customer.com,Security,Vendor,Trade mark attorney,customer.com,Derek Mills,Active,Bing,"Bing,Claude",2,True,True,352,88,6,46,5,67.6,2026-01-18T01:48:00.984356Z,macOS 14,RR63-06980,Google,Chat Assistant,US,US-West,Yes,Yes,Restricted,Low,PII,False,True,False,Encrypted in Transit,US-NY,Clinical,Privileged,Confidential,True,2025-05-26,Withdrawn,30d,,71,1,Excessive Upload,Resolved,10,2026-01-20,Breach
michaelrivera,walkersabrina@customer.com,Security,Vendor,Adult nurse,customer.com,Scott Cherry,Terminated,Bing,"Bing,Copilot,Gemini",3,True,True,293,78,9,40,5,77.2,2026-01-15T21:42:00.985436Z,Ubuntu 22.04,Zd53-27615,Google,Analytics,EU,EU-Central,No,Yes,Prohibited,Medium,PII,False,True,False,Both,US-CA,Clinical,Standard,Top-Secret,False,2025-02-25,Withdrawn,1yr,Completed,172,14,Excessive Upload,,44,2026-01-20,At Risk
bonddaniel,uhughes@customer.com,Clinical,Contractor,Agricultural consultant,customer.com,Martha Allen,Suspended,ChatGPT,"ChatGPT,Gemini,Copilot",3,False,True,477,152,3,22,1,69.8,2025-12-21T21:43:00.986334Z,Windows 10,HW68-94416,Anthropic,Analytics,EU,EU-Central,,,Restricted,Critical,Financial,False,True,True,Encrypted in Transit,EU-FR,Finance,Standard,Top-Secret,True,2025-09-29,Implied,7yr,Pending,127,19,,Under Investigation,63,2026-01-20,Breach
lepaula,brittanyhaas@customer.com,Legal,Full-Time,Logistics and distribution manager,customer.com,Sarah Sanchez,Suspended,ChatGPT,ChatGPT,1,False,True,467,110,4,37,2,54.2,2025-12-28T05:02:00.987187Z,Ubuntu 22.04,Wg41-94604,Nvidia,GenAI,APAC,US-East,,,Under Review,Medium,Financial,False,True,True,Encrypted at Rest,EU-FR,Finance,Admin,Top-Secret,True,2025-10-19,Explicit,90d,,74,9,Multiple Flags,Breach,60,2026-01-20,At Risk
xclark,melissajones@customer.com,R&D,Vendor,"Scientist, physiological",customer.com,Emily Rojas,Active,Bing,"Bing,Copilot",2,False,True,3,144,4,25,4,21.1,2026-01-08T12:47:00.988265Z,macOS 14,Je90-46603,Anthropic,Copilot,US,EU-Central,,No,Approved,High,PII,False,True,False,Encrypted in Transit,EU-FR,Admin,Admin,Secret,False,2025-12-17,Implied,30d,,193,16,Multiple Flags,Under Investigation,95,2026-01-20,At Risk
saradoyle,hsmith@customer.com,Clinical,Vendor,"Engineer, site",customer.com,Jared Garner,Suspended,Perplexity,"Perplexity,Claude",2,True,False,449,143,4,18,3,11.0,2025-12-26T00:29:00.989156Z,macOS 14,Kb34-01583,OpenAI,Copilot,US,EU-Central,Pending,Yes,Restricted,Critical,Financial,False,True,True,Both,EU-NL,Exec,Standard,,True,2025-06-20,,90d,Pending,51,11,Geo Anomaly,Resolved,45,2026-01-20,Compliant
daleholt,jason92@customer.com,Engineering,Contractor,"Geologist, wellsite",customer.com,Mitchell Curtis,Suspended,ChatGPT,ChatGPT,1,False,False,364,136,2,2,4,38.8,2026-01-04T14:55:00.990151Z,macOS 13,Aj59-81336,OpenAI,Analytics,APAC,EU-West,Pending,No,Prohibited,Medium,Confidential,False,False,False,Both,US-CA,Exec,Standard,,False,2025-09-08,Implied,30d,,197,12,Multiple Flags,Under Investigation,100,2026-01-20,Compliant
jeffreyzuniga,robert06@customer.com,Marketing,Vendor,Health visitor,customer.com,Justin Mitchell,Active,Copilot,"Copilot,Claude,Perplexity",3,True,False,106,139,2,14,4,5.9,2026-01-01T07:43:00.990907Z,Windows 10,gY06-89827,OpenAI,Copilot,APAC,EU-Central,Pending,Pending,Prohibited,Low,PII,False,True,False,Encrypted at Rest,US-NY,Exec,Standard,Secret,True,2025-12-13,Explicit,Indefinite,Completed,15,1,Multiple Flags,,60,2026-01-20,At Risk
donaldsonjamie,jonesdonna@customer.com,Engineering,Intern,Meteorologist,customer.com,Alexandra Price,Terminated,Bing,"Bing,Gemini",2,False,True,496,106,6,3,1,72.8,2026-01-05T19:30:00.992024Z,Windows 11,Zn97-65203,OpenAI,Copilot,Global,US-West,,Pending,Restricted,Low,PHI,True,True,False,Encrypted in Transit,EU-FR,Exec,Standard,Top-Secret,False,2025-06-25,Explicit,Indefinite,,65,19,Geo Anomaly,Under Investigation,16,2026-01-20,At Risk
julieschroeder,butlermark@customer.com,Marketing,Contractor,Patent examiner,customer.com,Susan Leonard,Terminated,Gemini,"Gemini,Claude,Copilot",3,True,False,208,98,5,19,0,23.3,2026-01-09T08:22:00.992873Z,Windows 10,yX52-39361,OpenAI,GenAI,EU,EU-Central,Pending,Yes,Approved,Critical,Financial,False,True,True,Both,APAC-SG,Finance,Admin,Top-Secret,False,2025-11-27,Implied,30d,,157,19,Geo Anomaly,Resolved,27,2026-01-20,Breach
judyevans,michael85@customer.com,HR,Intern,Magazine journalist,customer.com,Robert Williams,Suspended,Bing,"Bing,Gemini,Claude",3,True,False,456,76,3,20,1,47.9,2025-12-28T20:12:00.993791Z,macOS 14,ri81-54901,Microsoft,Search,APAC,EU-West,Pending,Pending,Prohibited,Medium,PII,False,True,False,Encrypted at Rest,US-MA,Exec,Elevated,Secret,False,2025-07-09,Withdrawn,30d,,46,6,Excessive Upload,Under Investigation,28,2026-01-20,Breach
megan81,joyceamanda@customer.com,HR,Vendor,Call centre manager,customer.com,Hannah Green,Inactive,ChatGPT,"ChatGPT,Copilot,Bing",3,True,False,88,36,10,34,5,45.6,2026-01-15T07:23:00.994703Z,macOS 14,wm74-38043,Microsoft,Code Assistant,EU,EU-West,Yes,Yes,Restricted,Low,Public,False,False,False,Encrypted at Rest,US-MA,Admin,Elevated,Confidential,True,2025-06-17,Withdrawn,Indefinite,Pending,105,0,Multiple Flags,,92,2026-01-20,Breach
jonathan09,jerry42@customer.com,Legal,Contractor,Clinical biochemist,customer.com,Mary Phillips,Inactive,Claude,"Claude,ChatGPT,Gemini",3,False,False,22,95,10,10,3,73.8,2026-01-17T08:55:00.995530Z,macOS 14,Qu04-00144,Nvidia,Search,APAC,US-East,,,Restricted,Low,Internal,False,False,False,Both,APAC-SG,Exec,Standard,Top-Secret,False,2025-07-04,Explicit,30d,,4,3,Unusual Hours,,38,2026-01-20,Compliant
deborahcarr,tcole@customer.com,IT,Contractor,"Clinical scientist, histocompatibility and immunogenetics",customer.com,Larry Carroll,Inactive,Perplexity,"Perplexity,ChatGPT",2,False,False,237,63,8,22,3,61.9,2026-01-06T12:27:00.996604Z,Windows 11,xt32-28133,Nvidia,GenAI,APAC,US-East,No,Pending,Approved,Low,Financial,False,True,True,Both,EU-FR,Finance,Privileged,Secret,True,2025-11-23,Explicit,30d,Completed,56,20,Geo Anomaly,,54,2026-01-20,Breach
gvasquez,joshua68@customer.com,Clinical,Contractor,Advertising account executive,customer.com,Matthew Cherry,Suspended,ChatGPT,"ChatGPT,Copilot",2,True,True,183,173,2,40,4,92.5,2026-01-15T04:48:00.997385Z,Windows 10,fq30-61983,Google,Copilot,EU,Multi-Region,,Yes,Prohibited,Medium,Financial,False,True,True,Both,US-NY,Exec,Elevated,,False,2025-10-05,Withdrawn,7yr,Pending,42,15,Multiple Flags,,31,2026-01-20,At Risk
